GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
selecao-involves,br.com.involves.selecao.builder,ControladorDaAplicacaoBuilder,0,21,0,0,0,6,0,4,0,4
selecao-involves,br.com.involves.selecao.builder,ControladorDeAlertasBuilder,0,7,0,0,0,2,0,2,0,2
selecao-involves,br.com.involves.selecao.builder,EntidadeComPropriedadesBuilder,0,54,0,2,0,13,0,7,0,6
selecao-involves,br.com.involves.selecao.builder,ControladorDeInterfaceDeUsuarioBuilder,0,42,0,0,0,12,0,7,0,7
selecao-involves,br.com.involves.selecao.builder,LeitorDeArquivoBuilder,0,40,0,2,0,11,0,3,0,2
selecao-involves,br.com.involves.selecao.builder,ControladorDeParametrosAplicacaoBuilder,0,26,0,2,0,6,0,5,0,4
selecao-involves,br.com.involves.selecao.builder,ArquivoDeLeituraBuilder,4,47,1,1,0,13,1,6,0,6
selecao-involves,br.com.involves.selecao.controlador,ControladorDaAplicacao,84,14,0,0,31,5,3,1,3,1
selecao-involves,br.com.involves.selecao.controlador,ControladorDeInterfaceDeUsuario,0,60,0,2,0,20,0,5,0,4
selecao-involves,br.com.involves.selecao.controlador,ControladorDeAlertas,0,22,0,0,0,5,0,3,0,3
selecao-involves,br.com.involves.selecao.controlador,ControladorDeParametrosAplicacao,0,82,0,2,0,20,0,11,0,10
selecao-involves,br.com.involves.selecao.conversor,ConversorConjuntoDadosComPropriedades,5,32,0,4,3,11,0,4,0,2
selecao-involves,br.com.involves.selecao.parser,ParserParametroFiltrarPropriedade,0,36,0,6,0,9,0,5,0,2
selecao-involves,br.com.involves.selecao.parser,ParserParametroContarDistintos,0,39,0,4,0,10,0,4,0,2
selecao-involves,br.com.involves.selecao.parser,ParametroComandoParser,0,25,0,0,0,7,0,2,0,2
selecao-involves,br.com.involves.selecao.principal,InvolvesApp,4,44,0,0,2,18,1,3,1,3
selecao-involves,br.com.involves.selecao.principal,Programa,11,0,0,0,4,0,2,0,2,0
selecao-involves,br.com.involves.selecao.comando,ConstantesComando,3,21,0,0,1,10,1,1,1,1
selecao-involves,br.com.involves.selecao.comando,ComandoHandlerContarDistintos,0,50,1,3,0,14,1,5,0,4
selecao-involves,br.com.involves.selecao.comando,ComandoHandlerAjuda,0,34,0,0,0,6,0,3,0,3
selecao-involves,br.com.involves.selecao.comando,ComandoHandlerContarTodos,0,20,0,2,0,6,0,3,0,2
selecao-involves,br.com.involves.selecao.comando,ComandoHandlerFiltrarPropriedade,0,60,0,0,0,13,0,4,0,4
selecao-involves,br.com.involves.selecao.comando,ComandoHandlerExit,0,9,0,0,0,2,0,2,0,2
selecao-involves,br.com.involves.selecao.excecao,LeituraDeArquivoException,0,4,0,0,0,2,0,1,0,1
selecao-involves,br.com.involves.selecao.excecao,TipoDeArquivoNaoSuportadoException,17,16,0,0,2,2,1,1,1,1
selecao-involves,br.com.involves.selecao.excecao,EntidadeDeLeituraException,4,4,0,0,2,2,1,1,1,1
